GeneSymbol,GeneA,GeneB,A,B,AllA
ATG16L1,entrez gene/locuslink:9545,entrez gene/locuslink:55054,biogrid:114919|entrez gene/locuslink:RAB3D,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:D2-2(gene name synonym)|entrez gene/locuslink:GOV(gene name synonym)|entrez gene/locuslink:RAB16(gene name synonym)|entrez gene/locuslink:RAD3D(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:83452,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:123654|entrez gene/locuslink:RAB33B,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9545,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114919|entrez gene/locuslink:RAB3D,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9363,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114764|entrez gene/locuslink:RAB33A|entrez gene/locuslink:RP3-438D16.1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:11021,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:116211|entrez gene/locuslink:RAB35,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9363,entrez gene/locuslink:55054,biogrid:114764|entrez gene/locuslink:RAB33A|entrez gene/locuslink:RP3-438D16.1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:RabS10(gene name synonym)
ATG16L1,entrez gene/locuslink:11021,entrez gene/locuslink:55054,biogrid:116211|entrez gene/locuslink:RAB35,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:H-ray(gene name synonym)|entrez gene/locuslink:RAB1C(gene name synonym)|entrez gene/locuslink:RAY(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:83452,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:123654|entrez gene/locuslink:RAB33B,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9363,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114764|entrez gene/locuslink:RAB33A|entrez gene/locuslink:RP3-438D16.1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9474,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114859|entrez gene/locuslink:ATG5,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:10188,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115485|entrez gene/locuslink:TNK2,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:10188,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115485|entrez gene/locuslink:TNK2,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9821,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115160|entrez gene/locuslink:RB1CC1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9474,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114859|entrez gene/locuslink:ATG5,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9821,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115160|entrez gene/locuslink:RB1CC1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9776,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115120|entrez gene/locuslink:ATG13,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:8408,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:113996|entrez gene/locuslink:ULK1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9821,entrez gene/locuslink:55054,biogrid:115160|entrez gene/locuslink:RB1CC1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:ATG17(gene name synonym)|entrez gene/locuslink:CC1(gene name synonym)|entrez gene/locuslink:FIP200(gene name synonym)|entrez gene/locuslink:PPP1R131(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9821,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115160|entrez gene/locuslink:RB1CC1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9528,entrez gene/locuslink:55054,biogrid:114904|entrez gene/locuslink:TMEM59|entrez gene/locuslink:RP4-758J24.2,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:C1orf8(gene name synonym)|entrez gene/locuslink:HSPC001(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9528,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114904|entrez gene/locuslink:TMEM59|entrez gene/locuslink:RP4-758J24.2,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9528,entrez gene/locuslink:55054,biogrid:114904|entrez gene/locuslink:TMEM59|entrez gene/locuslink:RP4-758J24.2,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:C1orf8(gene name synonym)|entrez gene/locuslink:HSPC001(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:64127,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:122077|entrez gene/locuslink:NOD2,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:7097,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:112952|entrez gene/locuslink:TLR2,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:80342,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:123249|entrez gene/locuslink:TRAF3IP3,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:162989,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:127838|entrez gene/locuslink:DEDD2|entrez gene/locuslink:PSEC0004,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:7316,entrez gene/locuslink:55054,biogrid:113164|entrez gene/locuslink:UBC,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:HMG20(gene name synonym)
ATG16L1,entrez gene/locuslink:7316,entrez gene/locuslink:55054,biogrid:113164|entrez gene/locuslink:UBC,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:HMG20(gene name synonym)
ATG16L1,entrez gene/locuslink:9821,entrez gene/locuslink:55054,biogrid:115160|entrez gene/locuslink:RB1CC1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:ATG17(gene name synonym)|entrez gene/locuslink:CC1(gene name synonym)|entrez gene/locuslink:FIP200(gene name synonym)|entrez gene/locuslink:PPP1R131(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9821,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115160|entrez gene/locuslink:RB1CC1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9474,entrez gene/locuslink:55054,biogrid:114859|entrez gene/locuslink:ATG5,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG5(gene name synonym)|entrez gene/locuslink:APG5-LIKE(gene name synonym)|entrez gene/locuslink:APG5L(gene name synonym)|entrez gene/locuslink:ASP(gene name synonym)|entrez gene/locuslink:hAPG5(gene name synonym)
ATG16L1,entrez gene/locuslink:26100,entrez gene/locuslink:55054,biogrid:117550|entrez gene/locuslink:WIPI2|entrez gene/locuslink:CGI-50,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:ATG18B(gene name synonym)|entrez gene/locuslink:Atg21(gene name synonym)|entrez gene/locuslink:WIPI-2(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9821,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115160|entrez gene/locuslink:RB1CC1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:10392,entrez gene/locuslink:55054,biogrid:115664|entrez gene/locuslink:NOD1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:CARD4(gene name synonym)|entrez gene/locuslink:CLR7.1(gene name synonym)|entrez gene/locuslink:NLRC1(gene name synonym)
ATG16L1,entrez gene/locuslink:7316,entrez gene/locuslink:55054,biogrid:113164|entrez gene/locuslink:UBC,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:HMG20(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:10392,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:115664|entrez gene/locuslink:NOD1,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:64127,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:122077|entrez gene/locuslink:NOD2,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:10392,entrez gene/locuslink:55054,biogrid:115664|entrez gene/locuslink:NOD1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:CARD4(gene name synonym)|entrez gene/locuslink:CLR7.1(gene name synonym)|entrez gene/locuslink:NLRC1(gene name synonym)
ATG16L1,entrez gene/locuslink:64127,entrez gene/locuslink:55054,biogrid:122077|entrez gene/locuslink:NOD2,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:ACUG(gene name synonym)|entrez gene/locuslink:BLAU(gene name synonym)|entrez gene/locuslink:CARD15(gene name synonym)|entrez gene/locuslink:CD(gene name synonym)|entrez gene/locuslink:CLR16.3(gene name synonym)|entrez gene/locuslink:IBD1(gene name synonym)|entrez gene/locuslink:NLRC2(gene name synonym)|entrez gene/locuslink:NOD2B(gene name synonym)|entrez gene/locuslink:PSORAS1(gene name synonym)
ATG16L1,entrez gene/locuslink:4343,entrez gene/locuslink:55054,biogrid:110484|entrez gene/locuslink:MOV10|entrez gene/locuslink:RP11-426L16.2,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:fSAP113(gene name synonym)|entrez gene/locuslink:gb110(gene name synonym)
ATG16L1,entrez gene/locuslink:10482,entrez gene/locuslink:55054,biogrid:115745|entrez gene/locuslink:NXF1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:MEX67(gene name synonym)|entrez gene/locuslink:TAP(gene name synonym)
ATG16L1,entrez gene/locuslink:345611,entrez gene/locuslink:55054,biogrid:131358|entrez gene/locuslink:IRGM,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:IFI1(gene name synonym)|entrez gene/locuslink:IRGM1(gene name synonym)|entrez gene/locuslink:LRG-47(gene name synonym)|entrez gene/locuslink:LRG47(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:345611,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:131358|entrez gene/locuslink:IRGM,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:1856,entrez gene/locuslink:55054,biogrid:108189|entrez gene/locuslink:DVL2,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,-
ATG16L1,entrez gene/locuslink:7514,entrez gene/locuslink:55054,biogrid:113348|entrez gene/locuslink:XPO1,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:CRM1(gene name synonym)|entrez gene/locuslink:emb(gene name synonym)|entrez gene/locuslink:exp1(gene name synonym)
ATG16L1,entrez gene/locuslink:55054,entrez gene/locuslink:9474,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,biogrid:114859|entrez gene/locuslink:ATG5,entrez gene/locuslink:APG16L(gene name synonym)|entrez gene/locuslink:ATG16A(gene name synonym)|entrez gene/locuslink:ATG16L(gene name synonym)|entrez gene/locuslink:IBD10(gene name synonym)|entrez gene/locuslink:WDR30(gene name synonym)
ATG16L1,entrez gene/locuslink:9474,entrez gene/locuslink:55054,biogrid:114859|entrez gene/locuslink:ATG5,biogrid:120375|entrez gene/locuslink:ATG16L1|entrez gene/locuslink:hCG_1817841,entrez gene/locuslink:APG5(gene name synonym)|entrez gene/locuslink:APG5-LIKE(gene name synonym)|entrez gene/locuslink:APG5L(gene name synonym)|entrez gene/locuslink:ASP(gene name synonym)|entrez gene/locuslink:hAPG5(gene name synonym)
